ID del Experimento,Concentración de Agua (%),Aceite esencial de manzanilla (%),Aceite esencial de Verbena (%),Extracto de manzanilla,Tween 80,Tween 20,Concentración de Emulgin (%),Tiempo de agitación en parrilla (min),Temperatura de agitación en parrilla (°C),Tiempo en baño caliente (min),Tiempo de sonicación (min),Potencia de Sonicación (%),Tiempo de Vórtice (min),Tiempo de Baño Ultrasónico (min),Temp. Baño ultrasonico,Temperatura de Medición (°C),Temp. Baño caliente.,Temp.Baño María,Revoluciones de agitación,Promedio Z (d.nm),Índice de Polidispersidad (PI),Cantidad de muestra (mL),Cantidad de agua (mL),Fluorescencia
-1.0,42.0,8,,42,4.0,4.0,,,,,6.0,70.7,5,N / A,N / A,,N / A,N / A,N / A,368.0,0.1,,no se sabe,
,,,,,,,,,,,,,,,,,,,,357.5,0.1646,,no se sabe,
-2.0,42.0,8,,38,8.0,4.0,,,,,5.0,70.7,5,N / A,N / A,,N / A,N / A,N / A,33.82,0.423,,,
,,,,,,,,,,,,,,,,,,,,457.0,0.2024,,no se sabe,
-3.0,42.0,8,,38,4.0,8.0,,,,,4.0,70.7,5,N / A,N / A,,N / A,N / A,N / A,30.93,0.4018,,,ligera en color amarillo
,,,,,,,,,,,,,,,,,,,,345.3,0.1979,,no se sabe,
-4.0,42.0,8,,42,4.0,4.0,,,,,6.0,70.7,5,N / A,N / A,,N / A,N / A,N / A,3769.0,0.041,,,Ligera en color amarillo
-5.0,,,,,,,,,,,,,,,,,,,,284.5,0.27,0.2,0.8,
-6.0,,,,,,,,,,,,,,,,,,,,912.9,1.38,0.4,0.6,Ligera
-7.0,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,Muy ligera
,,,,,,,,,,,,,,,,,,,,297.3,0.683,,,
,,,,,,,,,,,,,,,,,,,,978.2,0.26,,,
,,,,,,,,,,,,,,,,,,,,14.33,0.29,,,
-8.0,42.0,5,3.0,38,4.0,8.0,,,,,5.0,70.7,5,N / A,N / A,,N / A,N / A,N / A,2673.0,0.8812,,,Ligera en color rojo
,,,,,,,,,,,,,,,,,,,,2829.0,0.65,,,
-9.0,42.0,,8.0,42,4.0,4.0,,N / A,N / A,N / A,6.0,70.7,5,N / A,N / A,,N / A,N / A,N / A,,,,,
-12.0,84.0,N / A,8.0,N / A,4.0,4.0,,N / A,N / A,,6.0,70.7,5,N / A,N / A,25.0,,N / A,,190.3,0.4463,,,
,,,,,,,,,,,,,,,,25.0,,,,170.0,0.4,,,
-13.0,84.0,N / A,8.0,N / A,4.0,4.0,,N / A,N / A,N / A,3.0,70.7,5,N / A,N / A,25.0,,,,180.0,0.4,,,
-14.0,80.0,N / A,8.0,N / A,8.0,4.0,,N / A,N / A,N / A,6.0,70.7,5,N / A,N / A,25.0,,,,339.4,0.25,,,
-15.0,76.0,N / A,8.0,N / A,12.0,4.0,,N / A,N / A,6,1.0,70.7,6,N / A,N / A,25.0,60,,,580.3,0.1255,,,
-16.0,83.0,N / A,5.0,N / A,,,12.0,N / A,N / A,6,1.0,70.7,6,N / A,N / A,25.0,60,,,385.2,0.145,,,
,,,,,,,,,,,,,,,,45.0,,,,309.1,0.309,,,
,,,,,,,,,,,,,,,,25.0,,,,406.6,0.31,,,
-17.0,83.0,N / A,5.0,N / A,,,12.0,N / A,N / A,5,5.0,70.7,5,90,N / A,25.0,60,,,312.0,0.4,,,
,,,,,,,,,,,,,,,,25.0,,,,312.7,0.364,,,
-18.0,80.0,N / A,5.0,N / A,,,15.0,N / A,N / A,5,3.0,70.7,5,,N / A,25.0,60,,,375.3,0.45,,,
,,,,,,,,,,,,,,90,,25.0,,,,207.4,0.65,,,
,,,,,,,,,,,,,,,,25.0,,,,195.5,0.739,,,
-19.0,80.0,N / A,5.0,N / A,,,15.0,15,40,N / A,2.0,70.7,N / A,,N / A,25.0,,,970 y 1040,434.2,0.54,,,
,,,,,,,,,,,2.0,,,40,,25.0,,,,37.93,0.73,,,
,,,,,,,,,,,1.0,,,24,,25.0,,,,183.8,1.42,,,
-20.0,77.0,N / A,5.0,N / A,,,18.0,N / A,N / A,5,4.0,70.7,5,40,N / A,25.0,60,,,611.1,0.51,,,
,,,,,,,,,,,,,,,,,,,,374.0,0.66,,,
-21.0,77.0,N / A,5.0,N / A,,,18.0,20,40,N / A,4.0,70.7,N / A,120,N / A,25.0,,,"970, 1000, Y 1040",76.96,0.69,,,
,,,,,,,,,,,,,,,,25.0,,,,83.05,0.62,,,
,,,,,,,,,,,,,,,,45.0,,,,48.5,0.44,,,
,,,,,,,,,,,,,,,,60.0,,,,41.85,0.458,,,
-22.0,80.0,N / A,5.0,N / A,,,17.0,15,40,N / A,4.0,70.7,N / A,45,N / A,25.0,,,970 Y 1040,43.88,0.74,,,
,,,,,,,,,,,,,,,,25.0,,,,42.72,0.7415,,,
,,,,,,,,,,,,,,,,50.0,,,,27.44,0.51,,,
,,,,,,,,,,,,,,,,,,,,37.92,0.71,,,
-23.0,77.0,N / A,5.0,N / A,,,18.0,15,35,N / A,2.0,70.1,N / A,45,N / A,25.0,,,970 Y 1040,31.74,0.53,,,
,,,,,,,,,,,,,,,,50.0,,,,24.45,0.369,,,
,,,,,,,,,,,,,,,,25.0,,,,32.51,0.4,,,
,,,,,,,,,,,,,,,,25.0,,,,329.0,1.507,,,
-23.2,,,,,,,,,,,,,,,,60.0,,,,47.7,0.71,,,
,,,,,,,,,,,2.0,100.1,,,,25.0,,,,71.54,0.88,,,
-24.0,77.0,N / A,5.0,N / A,,,18.0,15,40,N / A,4.0,70.1,N / A,90,N / A,25.0,,,970 Y 1040,892.7,0.61,,,
-24.0,,,,,,,,,,,,,,,,25.0,,,,307.1,0.59,,,
,,,,,,,,,,,,,,,,25.0,,,,404.3,0.76,,,
-25.0,75.0,N / A,5.0,N / A,,,20.0,15,40,N / A,4.0,70.1,N / A,60,N / A,25.0,,,970 Y 1040,918.4,0.69,,,
-26.0,77.0,,5.0,N / A,,,18.0,55,40,N / A,,,N / A,35,30,,,,970 Y 1040,771.7,0.758,,,
,,,,,,,,,,,1.0,70.1,,30,35,,,,,156.3,0.67,,,
-27.0,77.0,N / A,5.0,N / A,,,18.0,45,40,N / A,,,N / A,35,30,,,,970 Y 1100,92.5,0.578,,,
-28.0,77.0,N / A,5.0,N / A,,,18.0,120,,,,,,,N / A,,,,970 Y 1040,,,,,
-29.0,77.0,N / A,5.0,N / A,,,18.0,80,,,,,,,N / A,,,40 y 50,"970, 1040, 1240",,,,,
-30.0,77.0,N / A,5.0,N / A,,,18.0,85,,,,,,,N / A,,,40,"970, 1040, 1170",,,,,
-31.0,77.0,N / A,5.0,N / A,,,18.0,95,,,,,,,N / A,,,45 - 50,"970, 1240. 1040",,,,,
-32.0,77.0,N / A,5.0,N / A,,,18.0,90,,,,,,,N / A,,,45 - 50 y 70,970 y 1240,,,,,
-33.0,77.0,N / A,5.0,N / A,,,18.0,55,"40, 53, 46-47",,,,,,N / A,,,,970 y 1040,,,,,
