factor,df,F,PR(>F)
Cantidad de agua (mL),2.0,50.221358937092944,0.004938920072412135
Aceite esencial de manzanilla (%),2.0,4.560213524469781,0.025970691348821053
Extracto de manzanilla,2.0,4.069373891228168,0.03482487307524476
Temp. Baño caliente.,1.0,1.404792261310002,0.26993351079273203
Temperatura de agitación en parrilla (°C),2.0,0.9633540137202106,0.4072541733982959
Tiempo de agitación en parrilla (min),4.0,1.0718304574379949,0.4159999202166956
Tiempo de Vórtice (min),2.0,0.4347398322595555,0.6540534276471868
Revoluciones de agitación,4.0,0.49213720900461433,0.7424409071392959
Temp. Baño ultrasonico,2.0,0.1630116511203752,0.8507568801475182
Tiempo en baño caliente (min),2.0,0.10532799462879597,0.9008521099086755
Tiempo de Baño Ultrasónico (min),8.0,0.25373348362848586,0.9713186854490563
